Source	EC	EC	EC	EC	DGg	DGg	CA3e	CA3e	CA3e	CA3o	CA3b	CA3b	DGg	DGg	DGh	DGb	DGb	CA3e	CA3e	CA3e	CA3e	Emo1e	Emo2e	Emo1i	Emo2i	Emo2e
Target	CA3e	CA3b	DGg	DGb	CA3e	CA3b	CA3e	CA3o	CA3b	CA3e	CA3e	CA3o	DGh	DGb	DGg	DGg	DGh	Emo1e	Emo2e	Emo1i	Emo2i	Emo1i	Emo2i	Emo1e	Emo2e	Emo1e
initW	2	3	1.5	10	0.2	1	0.4	3	3	3	3	3	3	3	0.2	0.2	3	4	1	4	2	2	2	2	2	0.002
Max	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Min	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
Delay	5	2	5	2	2	2.2	2	0.9	0.9	1	1	0.9	0.9	0.9	1	1	0.9	5	5	2	2	0.9	0.9	1	1	5
Ratio	0.166	0.4	0.2	0.3	0	0.2	0.3	0.5	0.15	2	3	3	1	0.1	2	2	0.5	0.1	0.3	0.2	0.2	0.5	0.5	2	2	0.2
ConPattern	1	0	0	0	0	0	1	3	1	3	2	2	3	1	3	2	2	0	0	0	0	3	3	3	3	0
Lambda1	20	2.5	2.5	2.5	0.0001	0.0001	5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	10	5	2.5	2.5	2.5	2.5	2.5	2.5	10
Lambda2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
threshold1	0.2	0.2	0.3	0.2	0.3	0.3	0.1	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.1	0.1	0.2	0.3	0.2	0.2	0.2	0.2	0.2	0.4	0.4	0.2
threshold2	0.4	0.4	0.5	0.4	0.5	0.5	0.2	0.4	0.3	0.7	0.3	0.4	0.4	0.4	0.3	0.3	0.4	0.5	0.5	0.4	0.5	0.5	0.5	0.6	0.6	0.4
tauD1	1	1	1	1	1	1	130	1	300	1	300	1	1	300	1	300	1	1	1	1	1	1	1	1	1	1
d1	1	1	1	1	1	1	0.7	1	0.8	1	0.7	1	1	0.8	1	0.7	1	1	1	1	1	1	1	1	1	1
tauD2	1	1	1	1	1	1	400	1	20	1	1	1	1	20	1	1	1	1	1	1	1	1	1	1	1	1
d2	1	1	1	1	1	1	0.92	1	0.5	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1
tauF	1	1	1	1	150	1	1	15	1	1	1	1	15	1	1	1	1	1	1	1	1	15	15	1	1	1
f	1	1	1	1	1.9	1	1	7	1	1	1	1	7	1	1	1	1	1	1	1	1	7	7	1	1	1
erev	0	0	0	0	0	0	0	0	0	-85	-85	-72	0	0	-75	-75	-72	0	0	0	0	0	0	-85	-85	0
bACH	-0.5	-0.5	0	0	0.5	0.5	-0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aDA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bDA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wACH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alpha_ampa	0.58	1.08	0.58	1.08	1.46	2.75	0.9	3.7	3.7	0.35	4.67	7	3.7	3.7	0.35	7	7	0.58	0.58	1.08	1.08	3.7	3.7	0.35	0.35	0.58
Beta_ampa	0.091	0.14	0.091	0.14	0.1	0.09	0.2	1.76	1.76	0.05	0.3	0.25	1.76	1.76	0.05	0.27	0.25	0.091	0.091	0.14	0.14	1.76	1.76	0.05	0.05	0.091
Cdur_ampa	2.4	1.3	2.4	1.3	1.5	0.8	2	0.5	0.5	6.2	0.3	0.25	0.5	0.5	6.2	0.1	0.25	2.4	2.4	1.3	1.3	0.5	0.5	6.2	6.2	2.4
gbar_ampa	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017
Alpha_nmda	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.09	0.09	0.09	0.088	0.088	0.09	0.09	0.09	0.088	0.088	0.088	0.088	0.088	0.088	0.09	0.09	0.088
Beta_nmda	0.0033	0.0066	0.0033	0.0066	0.0033	0.0066	0.0033	0.0066	0.0066	0.008	0.008	0.008	0.0066	0.0066	0.008	0.008	0.008	0.0033	0.0033	0.0066	0.0066	0.0066	0.0066	0.008	0.008	0.0033
Cdur_nmda	10	10	10	10	10	10	10	10	10	6	6	6	10	10	6	6	6	10	10	10	10	10	10	6	6	10
gbar_nmda	0.0017	0.0017	0.0006	0.0006	0.0006	0.0006	0.0017	0.0006	0.0006	0.0017	0.0017	0.0006	0.0006	0.0006	0.0006	0.0006	0.0006	0.0017	0.0017	0.0017	0.0017	0.0006	0.0006	0.0006	0.0006	0.0017
GaussA	0	0	0	0	0	0	0	0	0	1.5	1	1	0	0	1	1	0	0	0	0	0	0	0	1.5	1.5	0
